query_image_id,query_class,top1_class,top1_hit,correct_in_top5,precision_at_5,top5_image_ids,top5_classes,top5_distances
camel_camel_0001,camel,camel,1,2,0.4000,camel_camel_0012;camel_camel_0003;horse_horse_0021;horse_horse_0007;horse_horse_0035,camel;camel;horse;horse;horse,0.055012;0.073561;0.081998;0.082592;0.086766
camel_camel_0002,camel,elephant,0,2,0.4000,elephant_elephant_0010;camel_camel_0004;camel_camel_0017;pig_pig_0003;elephant_elephant_0004,elephant;camel;camel;pig;elephant,0.066761;0.072382;0.079883;0.081600;0.081991
camel_camel_0003,camel,horse,0,1,0.2000,horse_horse_0034;goat_goat_0001;horse_horse_0017;camel_camel_0001;horse_horse_0012,horse;goat;horse;camel;horse,0.067043;0.071749;0.072820;0.073561;0.073570
camel_camel_0004,camel,camel,1,4,0.8000,camel_camel_0015;camel_camel_0002;elephant_elephant_0009;camel_camel_0013;camel_camel_0014,camel;camel;elephant;camel;camel,0.053288;0.072382;0.076397;0.082752;0.085001
camel_camel_0005,camel,camel,1,3,0.6000,camel_camel_0015;horse_horse_0019;rhino_rhino_0007;camel_camel_0013;camel_camel_0004,camel;horse;rhino;camel;camel,0.075486;0.081637;0.088131;0.091500;0.095438
camel_camel_0006,camel,camel,1,2,0.4000,camel_camel_0014;dog_dog_0021;deer_deer_0007;camel_camel_0015;elephant_elephant_0014,camel;dog;deer;camel;elephant,0.074937;0.084538;0.085010;0.090498;0.091939
camel_camel_0007,camel,horse,0,0,0.0000,horse_horse_0011;goat_goat_0014;horse_horse_0018;tiger_tiger_0013;cat_cat_0014,horse;goat;horse;tiger;cat,0.084618;0.095184;0.108997;0.114491;0.116852
camel_camel_0008,camel,giraffe,0,0,0.0000,giraffe_giraffe_0040;giraffe_giraffe_0033;giraffe_giraffe_0022;giraffe_giraffe_0030;giraffe_giraffe_0032,giraffe;giraffe;giraffe;giraffe;giraffe,0.058048;0.068776;0.068890;0.070332;0.071384
camel_camel_0009,camel,camel,1,1,0.2000,camel_camel_0016;elephant_elephant_0003;elephant_elephant_0007;hippo_hippo_0011;elephant_elephant_0014,camel;elephant;elephant;hippo;elephant,0.076156;0.098337;0.100672;0.102075;0.106372
camel_camel_0010,camel,rabbit,0,0,0.0000,rabbit_rabbit_0017;rhino_rhino_0010;rhino_rhino_0005;pig_pig_0002;rhino_rhino_0009,rabbit;rhino;rhino;pig;rhino,0.098788;0.099403;0.101088;0.103628;0.104553
