image_id,class_name,image_path,gray_path,color_00,color_01,color_02,color_03,color_04,color_05,color_06,color_07,color_08,color_09,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20,color_21,color_22,color_23,gray_00,gray_01,gray_02,gray_03,gray_04,gray_05,gray_06,gray_07,gray_08,gray_09,gray_10,gray_11,gray_12,gray_13,gray_14,gray_15,edge_density,edge_bin_0,edge_bin_45,edge_bin_90,edge_bin_135,shape_aspect_ratio,shape_area_ratio,shape_bbox_width,shape_bbox_height,object_center_x,object_center_y,shape_extent,shape_compactness,texture_horizontal,texture_vertical,texture_diagonal,texture_contrast
camel_camel_0001,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0001.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0001.bmp,0.00169269,0.01476874,0.05052685,0.06770767,0.05137320,0.06491473,0.05810165,0.02424781,0.03698532,0.08463459,0.05704371,0.06703060,0.05272735,0.01967754,0.00799797,0.00723626,0.09855698,0.08531167,0.07803309,0.04083619,0.01117177,0.00761711,0.00825187,0.00355465,0.00520503,0.03719690,0.09153231,0.12809445,0.11400279,0.08543862,0.08378824,0.09496001,0.11362194,0.09280183,0.06157166,0.03554653,0.01764631,0.01244128,0.01586899,0.01028310,0.10110411,0.28554434,0.24901689,0.19382153,0.27161725,0.34146341,0.41183036,0.75000000,0.54910714,0.48883929,0.54910714,0.24549942,0.76661672,0.07826029,0.07078534,0.09288557,0.08064373
camel_camel_0002,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0002.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0002.bmp,0.00021493,0.00327454,0.00839497,0.01888868,0.03255579,0.09491118,0.14377647,0.03131677,0.00534800,0.01568999,0.03536254,0.09056198,0.08027056,0.01687844,0.07979013,0.00943170,0.02459068,0.06781718,0.11900879,0.02222644,0.00939377,0.01102472,0.07291232,0.00635944,0.00197231,0.00667552,0.01255452,0.01968519,0.03383273,0.04593211,0.06152096,0.10544282,0.17204627,0.16590176,0.06334155,0.04380808,0.12653139,0.11211834,0.01574057,0.01289588,0.18524793,0.27487320,0.16242721,0.29483541,0.26786418,0.37903226,0.46460459,0.83928571,0.55357143,0.49776786,0.60044643,0.39872169,0.75235051,0.04066724,0.04549148,0.05661084,0.04758985
camel_camel_0003,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0003.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0003.bmp,0.00398074,0.01700302,0.03557983,0.06094550,0.07091279,0.07742393,0.05060791,0.01687959,0.01188052,0.04236870,0.06896871,0.07841141,0.07449238,0.03619700,0.01147936,0.00953527,0.04017774,0.08088008,0.09220515,0.07279516,0.02265013,0.00953527,0.01033759,0.00475221,0.00648028,0.02073690,0.03952972,0.06017404,0.09924088,0.09905573,0.10498056,0.12016293,0.12164414,0.11312720,0.09711165,0.04767636,0.02240326,0.01657101,0.01971857,0.01138678,0.12474091,0.32885182,0.20867265,0.17786516,0.28461037,0.28275862,0.47393176,0.73214286,0.64732143,0.49776786,0.51339286,0.26320437,0.78242869,0.06735520,0.05430603,0.07498312,0.06554812
camel_camel_0004,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0004.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0004.bmp,0.00008603,0.00181887,0.00709115,0.02366995,0.02763952,0.11376568,0.08380341,0.07545871,0.00233504,0.01585370,0.03049073,0.04071575,0.04247318,0.13052883,0.06684364,0.00409247,0.03308385,0.04693434,0.03858963,0.10706780,0.01903673,0.01429291,0.07157517,0.00275289,0.00029495,0.00306013,0.00800059,0.02263761,0.03635291,0.03959739,0.05865870,0.05747889,0.06680677,0.06783910,0.08892822,0.32238322,0.21568411,0.00000000,0.00014748,0.01212993,0.14574697,0.29766761,0.17044873,0.32561749,0.20626616,0.36718750,0.47959184,0.83928571,0.57142857,0.49776786,0.57812500,0.30389794,0.75708306,0.02826679,0.03038127,0.04072316,0.03312374
camel_camel_0005,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0005.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0005.bmp,0.00026007,0.00110219,0.00277406,0.00743052,0.02064447,0.04608164,0.18607272,0.06896765,0.00133749,0.00417348,0.00658840,0.01623570,0.03756130,0.07960569,0.18312528,0.00470600,0.00452024,0.00798781,0.01670630,0.03553029,0.08863377,0.10376728,0.02709665,0.04909100,0.00089166,0.00141180,0.00352950,0.00546144,0.00772775,0.01069996,0.01582702,0.02741864,0.04265121,0.05517165,0.07876356,0.11298113,0.40693268,0.21593104,0.00991975,0.00468123,0.12298709,0.23530163,0.25766627,0.28397519,0.22305691,0.33812950,0.52080676,0.83928571,0.62053571,0.49776786,0.56696429,0.23614725,0.76776271,0.02876633,0.03152244,0.03949169,0.03326015
camel_camel_0006,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0006.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0006.bmp,0.00000000,0.00298925,0.00390323,0.00783871,0.02268817,0.08697849,0.17095699,0.03797849,0.00109677,0.00655914,0.01092473,0.02366667,0.11683871,0.14218280,0.02954839,0.00251613,0.00504301,0.01205376,0.03384946,0.08586022,0.16498925,0.00772043,0.02148387,0.00233333,0.00000000,0.00100000,0.00909677,0.00809677,0.00964516,0.01454839,0.02400000,0.03454839,0.05693548,0.17674194,0.30441935,0.22867742,0.11235484,0.01154839,0.00170968,0.00667742,0.20434072,0.34484846,0.20476633,0.26356514,0.18682007,0.29936306,0.58824936,0.83928571,0.70089286,0.49776786,0.52678571,0.34737092,0.77905691,0.03499532,0.03457708,0.04631848,0.03863029
camel_camel_0007,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0007.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0007.bmp,0.23409357,0.00459649,0.00797661,0.01492398,0.02530994,0.02307602,0.01471345,0.00864327,0.23819883,0.01233918,0.02283041,0.02721637,0.01900585,0.00971930,0.00330994,0.00071345,0.24884211,0.02490058,0.02911111,0.01908772,0.00782456,0.00309942,0.00045614,0.00001170,0.70049123,0.00912281,0.01140351,0.01726316,0.02298246,0.03200000,0.04070175,0.04252632,0.03645614,0.02926316,0.02515789,0.01533333,0.00796491,0.00596491,0.00326316,0.00010526,0.15104831,0.33285960,0.26177288,0.16818886,0.23717866,0.33467742,0.41023597,0.74107143,0.55357143,0.49776786,0.54687500,0.36819860,0.76892441,0.03474150,0.02758798,0.04064138,0.03432362
camel_camel_0008,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0008.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0008.bmp,0.00030295,0.00474628,0.01795843,0.03076664,0.03618615,0.05044181,0.09403349,0.09889758,0.00452748,0.02164437,0.02573424,0.02883110,0.02731633,0.05609695,0.09936885,0.06981402,0.02475806,0.02947067,0.03165867,0.03329126,0.02714803,0.01938904,0.04966759,0.11795001,0.00131280,0.00555415,0.01949003,0.03221409,0.04039384,0.04241353,0.04261550,0.04200959,0.03791972,0.04145418,0.06175208,0.10754860,0.13476395,0.16652361,0.21221914,0.01181520,0.14383371,0.32356070,0.19275433,0.24321256,0.24047241,0.16764706,0.38624043,0.50892857,0.75892857,0.50223214,0.49776786,0.37239422,0.75486096,0.04226219,0.04085723,0.05490035,0.04600659
camel_camel_0009,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0009.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0009.bmp,0.00223566,0.01888823,0.04794141,0.03554079,0.09507840,0.05180681,0.04218510,0.03965692,0.02351626,0.04704297,0.03579152,0.03613627,0.03812121,0.10727009,0.04274924,0.00270578,0.08572831,0.07138454,0.05997639,0.00799198,0.00343707,0.00463848,0.02437292,0.07580364,0.00260131,0.02758015,0.07120695,0.08750431,0.06252546,0.04748174,0.04980098,0.05284107,0.05597518,0.05669602,0.15896198,0.27153916,0.04666688,0.00050146,0.00006268,0.00805466,0.22433036,0.24846390,0.18694310,0.34747567,0.21711733,0.28437500,0.58035714,0.81250000,0.71428571,0.49776786,0.52008929,0.38653846,0.78214817,0.03491187,0.03979052,0.04980973,0.04150404
camel_camel_0010,camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0010.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0010.bmp,0.00000000,0.00000000,0.00035853,0.00108993,0.00339887,0.01302184,0.31390096,0.00156319,0.00000000,0.00018644,0.00081745,0.00326980,0.00910668,0.08587532,0.23317415,0.00090350,0.00010039,0.00087482,0.00456051,0.01282106,0.06486541,0.06280027,0.18655079,0.00076009,0.00000000,0.00000000,0.00004302,0.00025814,0.00094652,0.00129071,0.00236630,0.00503377,0.01075593,0.01462806,0.02895495,0.20638472,0.72559480,0.00103257,0.00008605,0.00262445,0.03206712,0.22851951,0.21556617,0.21119345,0.34472086,0.33680556,0.13919005,0.43303571,0.32142857,0.50892857,0.66294643,0.23038373,0.76821131,0.00791916,0.00788142,0.01010209,0.00863422
