class_name,source_path,gray_path,width,height,formula
camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0001.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0001.bmp,224,224,gray=0.299R+0.587G+0.114B
camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0002.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0002.bmp,224,224,gray=0.299R+0.587G+0.114B
camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0003.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0003.bmp,224,224,gray=0.299R+0.587G+0.114B
camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0004.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0004.bmp,224,224,gray=0.299R+0.587G+0.114B
camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0005.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0005.bmp,224,224,gray=0.299R+0.587G+0.114B
camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0006.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0006.bmp,224,224,gray=0.299R+0.587G+0.114B
camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0007.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0007.bmp,224,224,gray=0.299R+0.587G+0.114B
camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0008.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0008.bmp,224,224,gray=0.299R+0.587G+0.114B
camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0009.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0009.bmp,224,224,gray=0.299R+0.587G+0.114B
camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0010.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0010.bmp,224,224,gray=0.299R+0.587G+0.114B
camel,D:\CSDLDPT\data_processed_bmp\camel\camel_0011.bmp,D:\CSDLDPT\data_processed_gray_bmp\camel\camel_0011.bmp,224,224,gray=0.299R+0.587G+0.114B
